,Character,Pagerank
1,Jean,0.04832154294000658
2,Madame,0.037891407950505905
3,Marius,0.03750891561389304
4,France,0.034877972806531786
5,Monsieur,0.02879004854523872
6,English,0.027367687636045572
7,Mother,0.02343073280233017
8,Mademoiselle,0.023015653863000328
9,Valjean,0.022925505035883396
10,Father,0.02176493650733854
