,Nodes,Edges,Average Clustering,Diameter,Density,Average Shortest Path Length
Alice in Wonderland,23,36,0.5464530892448513,3,0.1422924901185771,1.992094861660079
Pride and Prejudice,49,156,0.5164072125922565,5,0.1326530612244898,2.308673469387755
Les Miserables,127,221,0.25279618577197865,8,0.027621547306586676,3.7581552305961754
Crime and Punishment,71,182,0.4105081011388421,7,0.07323943661971831,2.851509054325956
Great Expectations,79,124,0.25344145823826036,7,0.040246673158065564,3.310938007140539
