,Character,Pagerank
1,Joe,0.06931024555873203
2,Herbert,0.06884388196927184
3,Pocket,0.050335677909556835
4,Drummle,0.03638022850988495
5,Wopsle,0.033689945401986214
6,Wemmick,0.03192754688035267
7,Old,0.028860372013585166
8,Pumblechook,0.02200522089031767
9,Provis,0.021496942290304716
10,Estella,0.02082003252966266
