,Alice in Wonderland,Pride and Prejudice,Les Miserables,Crime and Punishment,Great Expectations
Alice in Wonderland,0.0,382.3162160429736,544.576020793785,492.85043620141437,521.5983683758417
Pride and Prejudice,382.3162160429736,0.0,2902.4004378963937,1782.6245298792303,2545.0604189395317
Les Miserables,544.576020793785,2902.4004378963937,0.0,2865.09808101468,979.0385398283486
Crime and Punishment,492.85043620141437,1782.6245298792303,2865.09808101468,0.0,1578.6378356002533
Great Expectations,521.5983683758417,2545.0604189395317,979.0385398283486,1578.6378356002533,0.0
