,Character,Pagerank
1,Katerina,0.05900923355836068
2,Raskolnikov,0.055688668461457494
3,Ivanovna,0.05418931546645085
4,Pyotr,0.046880184393818344
5,Sonia,0.0362774961311679
6,Petrovitch,0.03400551874212569
7,Amalia,0.031095028839437617
8,Dounia,0.0286371852632925
9,Pulcheria,0.02758639063352568
10,Razumihin,0.02735567773724587
